b1,b2,b3,b4,b5,b6,b7,col,row
-55.0,-58.0,-54.0,-52.0,-55.0,-56.0,-52.0,6,2
-57.0,-58.0,-53.0,-52.0,-55.0,-65.0,-53.0,6,2
-57.0,-58.0,-54.0,-51.0,-55.0,-59.0,-50.0,6,2
-56.0,-57.0,-54.0,-53.0,-56.0,-64.0,-52.0,6,2
-57.0,-57.0,-53.0,-52.0,-56.0,-66.0,-51.0,6,2
-56.0,-58.0,-53.0,-52.0,-55.0,-56.0,-52.0,6,2
-57.0,-58.0,-53.0,-53.0,-55.0,-64.0,-52.0,6,2
-56.0,-58.0,-53.0,-53.0,-56.0,-56.0,-53.0,6,2
-56.0,-58.0,-52.0,-52.0,-53.0,-65.0,-52.0,6,2
-56.0,-58.0,-53.0,-52.0,-56.0,-65.0,-53.0,6,2
-54.0,-57.0,-54.0,-52.0,-55.0,-64.0,-52.0,6,2
-54.0,-57.0,-53.0,-52.0,-55.0,-64.0,-53.0,6,2
-56.0,-58.0,-53.0,-50.0,-55.0,-64.0,-50.0,6,2
-57.0,-58.0,-53.0,-52.0,-55.0,-56.0,-53.0,6,2
-56.0,-58.0,-54.0,-53.0,-56.0,-64.0,-53.0,6,2
-54.0,-57.0,-65.0,-57.0,-57.0,-61.0,-47.0,1,3
-55.0,-57.0,-65.0,-55.0,-58.0,-62.0,-46.0,1,3
-53.0,-57.0,-66.0,-55.0,-59.0,-62.0,-46.0,1,3
-54.0,-58.0,-66.0,-54.0,-58.0,-62.0,-45.0,1,3
-52.0,-57.0,-66.0,-55.0,-57.0,-62.0,-46.0,1,3
-53.0,-57.0,-66.0,-54.0,-57.0,-61.0,-46.0,1,3
-55.0,-58.0,-67.0,-56.0,-58.0,-63.0,-46.0,1,3
-53.0,-58.0,-66.0,-56.0,-58.0,-62.0,-46.0,1,3
-55.0,-57.0,-66.0,-56.0,-58.0,-62.0,-45.0,1,3
-55.0,-58.0,-66.0,-56.0,-60.0,-62.0,-46.0,1,3
-52.0,-57.0,-67.0,-56.0,-60.0,-62.0,-47.0,1,3
-54.0,-57.0,-66.0,-56.0,-58.0,-62.0,-46.0,1,3
-55.0,-58.0,-67.0,-55.0,-58.0,-59.0,-46.0,1,3
-52.0,-58.0,-67.0,-54.0,-56.0,-61.0,-46.0,1,3
-53.0,-58.0,-67.0,-56.0,-58.0,-62.0,-46.0,1,3
-53.0,-58.0,-66.0,-56.0,-58.0,-63.0,-46.0,1,3
-53.0,-54.0,-58.0,-58.0,-54.0,-67.0,-49.0,2,3
-54.0,-54.0,-55.0,-60.0,-53.0,-68.0,-49.0,2,3
-54.0,-54.0,-57.0,-58.0,-53.0,-68.0,-49.0,2,3
-54.0,-54.0,-56.0,-58.0,-53.0,-67.0,-49.0,2,3
-54.0,-55.0,-57.0,-58.0,-53.0,-67.0,-49.0,2,3
-54.0,-54.0,-57.0,-59.0,-54.0,-67.0,-46.0,2,3
-54.0,-55.0,-55.0,-58.0,-54.0,-69.0,-49.0,2,3
-55.0,-53.0,-58.0,-56.0,-53.0,-68.0,-51.0,2,3
-54.0,-54.0,-55.0,-58.0,-52.0,-68.0,-48.0,2,3
-54.0,-54.0,-57.0,-56.0,-53.0,-68.0,-49.0,2,3
-54.0,-54.0,-56.0,-58.0,-55.0,-69.0,-49.0,2,3
-54.0,-54.0,-58.0,-58.0,-53.0,-69.0,-48.0,2,3
-54.0,-54.0,-57.0,-61.0,-53.0,-67.0,-47.0,2,3
-54.0,-54.0,-58.0,-59.0,-54.0,-68.0,-49.0,2,3
-54.0,-54.0,-57.0,-60.0,-54.0,-67.0,-49.0,2,3
-54.0,-54.0,-57.0,-59.0,-53.0,-69.0,-47.0,2,3
-56.0,-52.0,-65.0,-56.0,-58.0,-63.0,-51.0,4,3
-55.0,-53.0,-65.0,-56.0,-55.0,-63.0,-52.0,4,3
-56.0,-54.0,-65.0,-56.0,-55.0,-62.0,-51.0,4,3
-56.0,-53.0,-64.0,-54.0,-55.0,-60.0,-51.0,4,3
-56.0,-52.0,-65.0,-56.0,-55.0,-63.0,-51.0,4,3
-56.0,-53.0,-64.0,-55.0,-55.0,-63.0,-51.0,4,3
-56.0,-55.0,-65.0,-54.0,-55.0,-60.0,-51.0,4,3
-56.0,-54.0,-65.0,-56.0,-55.0,-63.0,-51.0,4,3
-56.0,-53.0,-65.0,-56.0,-55.0,-58.0,-51.0,4,3
-56.0,-51.0,-65.0,-56.0,-56.0,-63.0,-51.0,4,3
-56.0,-55.0,-65.0,-55.0,-54.0,-59.0,-51.0,4,3
-56.0,-52.0,-63.0,-56.0,-55.0,-63.0,-50.0,4,3
-57.0,-55.0,-65.0,-56.0,-55.0,-62.0,-51.0,4,3
-56.0,-53.0,-65.0,-56.0,-55.0,-62.0,-51.0,4,3
-56.0,-55.0,-65.0,-56.0,-57.0,-63.0,-51.0,4,3
-56.0,-53.0,-64.0,-56.0,-58.0,-63.0,-51.0,4,3
-56.0,-56.0,-65.0,-53.0,-55.0,-60.0,-48.0,5,3
-56.0,-58.0,-66.0,-53.0,-55.0,-60.0,-51.0,5,3
-57.0,-59.0,-65.0,-53.0,-56.0,-61.0,-52.0,5,3
-56.0,-57.0,-65.0,-54.0,-52.0,-60.0,-53.0,5,3
-56.0,-57.0,-66.0,-55.0,-53.0,-57.0,-53.0,5,3
-57.0,-58.0,-65.0,-54.0,-56.0,-58.0,-53.0,5,3
-57.0,-57.0,-65.0,-53.0,-55.0,-60.0,-54.0,5,3
-56.0,-59.0,-65.0,-53.0,-54.0,-60.0,-52.0,5,3
-57.0,-58.0,-65.0,-55.0,-54.0,-57.0,-54.0,5,3
-56.0,-58.0,-65.0,-54.0,-54.0,-57.0,-51.0,5,3
-57.0,-58.0,-65.0,-54.0,-53.0,-58.0,-55.0,5,3
-56.0,-58.0,-65.0,-54.0,-54.0,-61.0,-53.0,5,3
-56.0,-58.0,-65.0,-53.0,-55.0,-58.0,-53.0,5,3
-56.0,-57.0,-65.0,-54.0,-57.0,-60.0,-51.0,5,3
-55.0,-58.0,-66.0,-53.0,-54.0,-60.0,-52.0,5,3
-56.0,-58.0,-65.0,-53.0,-54.0,-60.0,-51.0,5,3
-53.0,-55.0,-60.0,-51.0,-58.0,-66.0,-52.0,6,3
-52.0,-54.0,-58.0,-48.0,-59.0,-66.0,-51.0,6,3
-53.0,-56.0,-57.0,-50.0,-63.0,-66.0,-51.0,6,3
-52.0,-56.0,-62.0,-50.0,-61.0,-66.0,-52.0,6,3
-52.0,-56.0,-60.0,-49.0,-62.0,-66.0,-52.0,6,3
-51.0,-57.0,-60.0,-49.0,-60.0,-66.0,-51.0,6,3
-52.0,-56.0,-59.0,-49.0,-61.0,-66.0,-52.0,6,3
-53.0,-56.0,-56.0,-48.0,-60.0,-66.0,-52.0,6,3
-52.0,-56.0,-58.0,-49.0,-60.0,-66.0,-51.0,6,3
-53.0,-56.0,-62.0,-48.0,-61.0,-66.0,-52.0,6,3
-53.0,-56.0,-62.0,-49.0,-61.0,-66.0,-52.0,6,3
-53.0,-56.0,-61.0,-50.0,-61.0,-67.0,-52.0,6,3
-53.0,-56.0,-61.0,-50.0,-59.0,-67.0,-52.0,6,3
-52.0,-56.0,-62.0,-49.0,-58.0,-66.0,-52.0,6,3
-53.0,-56.0,-61.0,-49.0,-61.0,-67.0,-51.0,6,3
-51.0,-56.0,-61.0,-49.0,-61.0,-66.0,-51.0,6,3
-61.0,-54.0,-63.0,-60.0,-59.0,-69.0,-47.0,1,4
-61.0,-52.0,-62.0,-62.0,-58.0,-60.0,-48.0,1,4
-60.0,-52.0,-63.0,-63.0,-60.0,-67.0,-49.0,1,4
-58.0,-52.0,-62.0,-62.0,-61.0,-66.0,-47.0,1,4
-61.0,-51.0,-64.0,-65.0,-61.0,-66.0,-46.0,1,4
-60.0,-52.0,-63.0,-62.0,-60.0,-68.0,-47.0,1,4
-58.0,-52.0,-62.0,-63.0,-58.0,-67.0,-47.0,1,4
-61.0,-51.0,-62.0,-63.0,-61.0,-65.0,-47.0,1,4
-58.0,-52.0,-62.0,-62.0,-57.0,-65.0,-46.0,1,4
-61.0,-52.0,-64.0,-62.0,-60.0,-61.0,-47.0,1,4
-60.0,-52.0,-63.0,-62.0,-61.0,-67.0,-47.0,1,4
-61.0,-52.0,-63.0,-62.0,-59.0,-67.0,-47.0,1,4
-58.0,-51.0,-64.0,-62.0,-61.0,-67.0,-46.0,1,4
-58.0,-51.0,-62.0,-64.0,-61.0,-66.0,-47.0,1,4
-58.0,-52.0,-63.0,-62.0,-61.0,-66.0,-47.0,1,4
-61.0,-52.0,-63.0,-62.0,-60.0,-67.0,-47.0,1,4
-60.0,-56.0,-62.0,-51.0,-55.0,-52.0,-48.0,2,4
-59.0,-57.0,-61.0,-51.0,-59.0,-51.0,-48.0,2,4
-60.0,-57.0,-61.0,-50.0,-58.0,-55.0,-49.0,2,4
-60.0,-56.0,-62.0,-51.0,-58.0,-52.0,-47.0,2,4
-59.0,-57.0,-62.0,-51.0,-58.0,-50.0,-48.0,2,4
-60.0,-58.0,-60.0,-52.0,-57.0,-51.0,-49.0,2,4
-60.0,-57.0,-61.0,-52.0,-57.0,-56.0,-49.0,2,4
-60.0,-58.0,-61.0,-50.0,-58.0,-52.0,-47.0,2,4
-59.0,-57.0,-61.0,-51.0,-58.0,-53.0,-48.0,2,4
-60.0,-58.0,-62.0,-52.0,-58.0,-53.0,-49.0,2,4
-60.0,-57.0,-62.0,-51.0,-57.0,-56.0,-48.0,2,4
-60.0,-57.0,-62.0,-49.0,-58.0,-55.0,-49.0,2,4
-61.0,-57.0,-62.0,-52.0,-55.0,-51.0,-48.0,2,4
-61.0,-57.0,-61.0,-52.0,-56.0,-52.0,-48.0,2,4
-60.0,-57.0,-59.0,-51.0,-56.0,-52.0,-48.0,2,4
-59.0,-57.0,-61.0,-52.0,-58.0,-52.0,-49.0,2,4
-50.0,-57.0,-68.0,-56.0,-54.0,-63.0,-35.0,3,4
-49.0,-57.0,-66.0,-55.0,-54.0,-63.0,-36.0,3,4
-50.0,-57.0,-65.0,-54.0,-55.0,-63.0,-35.0,3,4
-47.0,-57.0,-68.0,-49.0,-56.0,-63.0,-35.0,3,4
-50.0,-56.0,-68.0,-55.0,-56.0,-63.0,-38.0,3,4
-50.0,-56.0,-68.0,-54.0,-55.0,-64.0,-35.0,3,4
-50.0,-58.0,-68.0,-54.0,-55.0,-63.0,-35.0,3,4
-50.0,-57.0,-68.0,-49.0,-55.0,-62.0,-35.0,3,4
-50.0,-57.0,-66.0,-49.0,-55.0,-62.0,-35.0,3,4
-47.0,-57.0,-67.0,-49.0,-54.0,-63.0,-37.0,3,4
-49.0,-59.0,-67.0,-50.0,-56.0,-64.0,-35.0,3,4
-50.0,-58.0,-67.0,-54.0,-56.0,-65.0,-34.0,3,4
-50.0,-58.0,-65.0,-49.0,-54.0,-61.0,-38.0,3,4
-47.0,-58.0,-66.0,-54.0,-55.0,-62.0,-36.0,3,4
-49.0,-57.0,-66.0,-49.0,-55.0,-62.0,-35.0,3,4
-50.0,-57.0,-68.0,-53.0,-57.0,-64.0,-35.0,3,4
-52.0,-57.0,-53.0,-57.0,-54.0,-63.0,-57.0,4,4
-52.0,-56.0,-52.0,-54.0,-51.0,-63.0,-57.0,4,4
-50.0,-56.0,-53.0,-54.0,-54.0,-64.0,-57.0,4,4
-52.0,-56.0,-54.0,-52.0,-54.0,-64.0,-58.0,4,4
-51.0,-56.0,-53.0,-54.0,-54.0,-62.0,-57.0,4,4
-52.0,-56.0,-53.0,-54.0,-54.0,-65.0,-57.0,4,4
-52.0,-56.0,-53.0,-54.0,-54.0,-65.0,-57.0,4,4
-51.0,-56.0,-51.0,-54.0,-54.0,-63.0,-57.0,4,4
-52.0,-57.0,-53.0,-56.0,-53.0,-64.0,-57.0,4,4
-51.0,-56.0,-53.0,-52.0,-53.0,-64.0,-57.0,4,4
-52.0,-56.0,-53.0,-55.0,-54.0,-64.0,-58.0,4,4
-51.0,-56.0,-53.0,-55.0,-53.0,-63.0,-57.0,4,4
-51.0,-56.0,-54.0,-54.0,-53.0,-65.0,-57.0,4,4
-50.0,-56.0,-55.0,-54.0,-52.0,-64.0,-57.0,4,4
-52.0,-56.0,-54.0,-54.0,-53.0,-63.0,-57.0,4,4
-52.0,-56.0,-54.0,-54.0,-52.0,-64.0,-57.0,4,4
-49.0,-56.0,-68.0,-52.0,-60.0,-61.0,-53.0,5,4
-48.0,-54.0,-67.0,-51.0,-60.0,-58.0,-53.0,5,4
-49.0,-54.0,-67.0,-52.0,-60.0,-59.0,-52.0,5,4
-48.0,-54.0,-67.0,-52.0,-61.0,-59.0,-53.0,5,4
-49.0,-55.0,-66.0,-51.0,-61.0,-59.0,-52.0,5,4
-50.0,-54.0,-67.0,-51.0,-61.0,-60.0,-52.0,5,4
-47.0,-54.0,-67.0,-52.0,-60.0,-60.0,-52.0,5,4
-49.0,-55.0,-67.0,-51.0,-60.0,-59.0,-53.0,5,4
-50.0,-55.0,-67.0,-51.0,-61.0,-58.0,-52.0,5,4
-50.0,-55.0,-67.0,-52.0,-60.0,-59.0,-53.0,5,4
-50.0,-54.0,-68.0,-52.0,-60.0,-59.0,-53.0,5,4
-50.0,-55.0,-68.0,-51.0,-58.0,-59.0,-53.0,5,4
-49.0,-55.0,-68.0,-51.0,-60.0,-60.0,-53.0,5,4
-49.0,-55.0,-67.0,-51.0,-60.0,-59.0,-52.0,5,4
-49.0,-55.0,-67.0,-51.0,-60.0,-60.0,-53.0,5,4
-50.0,-54.0,-68.0,-51.0,-61.0,-61.0,-52.0,5,4
-61.0,-58.0,-60.0,-55.0,-57.0,-62.0,-46.0,6,4
-61.0,-57.0,-63.0,-60.0,-55.0,-57.0,-48.0,6,4
-62.0,-59.0,-62.0,-60.0,-53.0,-62.0,-47.0,6,4
-62.0,-59.0,-62.0,-56.0,-55.0,-62.0,-49.0,6,4
-63.0,-59.0,-62.0,-55.0,-57.0,-63.0,-50.0,6,4
-62.0,-59.0,-64.0,-61.0,-54.0,-62.0,-48.0,6,4
-62.0,-59.0,-63.0,-56.0,-53.0,-62.0,-48.0,6,4
-62.0,-59.0,-65.0,-61.0,-56.0,-61.0,-48.0,6,4
-63.0,-60.0,-65.0,-58.0,-54.0,-63.0,-47.0,6,4
-62.0,-60.0,-60.0,-58.0,-54.0,-62.0,-47.0,6,4
-62.0,-60.0,-63.0,-55.0,-55.0,-62.0,-50.0,6,4
-61.0,-59.0,-62.0,-59.0,-55.0,-56.0,-46.0,6,4
-62.0,-59.0,-60.0,-59.0,-54.0,-56.0,-48.0,6,4
-62.0,-58.0,-63.0,-57.0,-54.0,-56.0,-48.0,6,4
-63.0,-60.0,-62.0,-59.0,-55.0,-56.0,-49.0,6,4
-62.0,-59.0,-62.0,-59.0,-56.0,-55.0,-49.0,6,4
-60.0,-52.0,-56.0,-58.0,-60.0,-61.0,-48.0,1,5
-59.0,-51.0,-56.0,-58.0,-59.0,-64.0,-47.0,1,5
-60.0,-53.0,-57.0,-57.0,-59.0,-62.0,-47.0,1,5
-60.0,-53.0,-57.0,-59.0,-59.0,-62.0,-46.0,1,5
